NAME                                TYPE      SIGNATURE       RESULT/VALUE                             FLAGS
org.freedesktop.DBus.Introspectable interface -               -                                        -
.Introspect                         method    -               s                                        -
org.freedesktop.DBus.Peer           interface -               -                                        -
.GetMachineId                       method    -               s                                        -
.Ping                               method    -               -                                        -
org.freedesktop.DBus.Properties     interface -               -                                        -
.Get                                method    ss              v                                        -
.GetAll                             method    s               a{sv}                                    -
.Set                                method    ssv             -                                        -
.PropertiesChanged                  signal    sa{sv}as        -                                        -
org.freedesktop.systemd1.Service    interface -               -                                        -
.AttachProcesses                    method    sau             -                                        -
.BindMount                          method    ssbb            -                                        -
.GetProcesses                       method    -               a(sus)                                   -
.MountImage                         method    ssbba(ss)       -                                        -
.AllowedCPUs                        property  ay              0                                        -
.AllowedMemoryNodes                 property  ay              0                                        -
.AmbientCapabilities                property  t               0                                        const
.AppArmorProfile                    property  (bs)            false ""                                 const
.BPFProgram                         property  a(ss)           0                                        -
.BindPaths                          property  a(ssbt)         0                                        const
.BindReadOnlyPaths                  property  a(ssbt)         0                                        const
.BlockIOAccounting                  property  b               false                                    -
.BlockIODeviceWeight                property  a(st)           0                                        -
.BlockIOReadBandwidth               property  a(st)           0                                        -
.BlockIOWeight                      property  t               18446744073709551615                     -
.BlockIOWriteBandwidth              property  a(st)           0                                        -
.BusName                            property  s               "org.freedesktop.ModemManager1"          const
.CPUAccounting                      property  b               true                                     -
.CPUAffinity                        property  ay              0                                        const
.CPUAffinityFromNUMA                property  b               false                                    const
.CPUQuotaPerSecUSec                 property  t               18446744073709551615                     -
.CPUQuotaPeriodUSec                 property  t               18446744073709551615                     -
.CPUSchedulingPolicy                property  i               0                                        const
.CPUSchedulingPriority              property  i               0                                        const
.CPUSchedulingResetOnFork           property  b               false                                    const
.CPUShares                          property  t               18446744073709551615                     -
.CPUUsageNSec                       property  t               82005000                                 -
.CPUWeight                          property  t               18446744073709551615                     -
.CacheDirectory                     property  as              0                                        const
.CacheDirectoryMode                 property  u               493                                      const
.CapabilityBoundingSet              property  t               2101248                                  const
.CleanResult                        property  s               "success"                                emits-change
.ConfigurationDirectory             property  as              0                                        const
.ConfigurationDirectoryMode         property  u               493                                      const
.ControlGroup                       property  s               "/system.slice/ModemManager.service"     -
.ControlPID                         property  u               0                                        emits-change
.CoredumpFilter                     property  t               51                                       const
.DefaultMemoryLow                   property  t               0                                        -
.DefaultMemoryMin                   property  t               0                                        -
.Delegate                           property  b               false                                    -
.DelegateControllers                property  as              0                                        -
.DeviceAllow                        property  a(ss)           0                                        -
.DevicePolicy                       property  s               "auto"                                   -
.DisableControllers                 property  as              0                                        -
.DynamicUser                        property  b               false                                    const
.EffectiveCPUs                      property  ay              0                                        -
.EffectiveMemoryNodes               property  ay              0                                        -
.Environment                        property  as              0                                        const
.EnvironmentFiles                   property  a(sb)           0                                        const
.ExecCondition                      property  a(sasbttttuii)  0                                        emits-invalidation
.ExecConditionEx                    property  a(sasasttttuii) 0                                        emits-invalidation
.ExecMainCode                       property  i               0                                        emits-change
.ExecMainExitTimestamp              property  t               0                                        emits-change
.ExecMainExitTimestampMonotonic     property  t               0                                        emits-change
.ExecMainPID                        property  u               838                                      emits-change
.ExecMainStartTimestamp             property  t               1725747481777598                         emits-change
.ExecMainStartTimestampMonotonic    property  t               3228623                                  emits-change
.ExecMainStatus                     property  i               0                                        emits-change
.ExecPaths                          property  as              0                                        const
.ExecReload                         property  a(sasbttttuii)  0                                        emits-invalidation
.ExecReloadEx                       property  a(sasasttttuii) 0                                        emits-invalidation
.ExecStart                          property  a(sasbttttuii)  1 "/usr/sbin/ModemManager" 1 "/usr/sbin… emits-invalidation
.ExecStartEx                        property  a(sasasttttuii) 1 "/usr/sbin/ModemManager" 1 "/usr/sbin… emits-invalidation
.ExecStartPost                      property  a(sasbttttuii)  0                                        emits-invalidation
.ExecStartPostEx                    property  a(sasasttttuii) 0                                        emits-invalidation
.ExecStartPre                       property  a(sasbttttuii)  0                                        emits-invalidation
.ExecStartPreEx                     property  a(sasasttttuii) 0                                        emits-invalidation
.ExecStop                           property  a(sasbttttuii)  0                                        emits-invalidation
.ExecStopEx                         property  a(sasasttttuii) 0                                        emits-invalidation
.ExecStopPost                       property  a(sasbttttuii)  0                                        emits-invalidation
.ExecStopPostEx                     property  a(sasasttttuii) 0                                        emits-invalidation
.ExtensionImages                    property  a(sba(ss))      0                                        const
.FileDescriptorStoreMax             property  u               0                                        const
.FinalKillSignal                    property  i               9                                        const
.GID                                property  u               0                                        emits-change
.Group                              property  s               ""                                       const
.GuessMainPID                       property  b               true                                     const
.IOAccounting                       property  b               false                                    -
.IODeviceLatencyTargetUSec          property  a(st)           0                                        -
.IODeviceWeight                     property  a(st)           0                                        -
.IOReadBandwidthMax                 property  a(st)           0                                        -
.IOReadBytes                        property  t               18446744073709551615                     -
.IOReadIOPSMax                      property  a(st)           0                                        -
.IOReadOperations                   property  t               18446744073709551615                     -
.IOSchedulingClass                  property  i               2                                        const
.IOSchedulingPriority               property  i               4                                        const
.IOWeight                           property  t               18446744073709551615                     -
.IOWriteBandwidthMax                property  a(st)           0                                        -
.IOWriteBytes                       property  t               18446744073709551615                     -
.IOWriteIOPSMax                     property  a(st)           0                                        -
.IOWriteOperations                  property  t               18446744073709551615                     -
.IPAccounting                       property  b               false                                    -
.IPAddressAllow                     property  a(iayu)         0                                        -
.IPAddressDeny                      property  a(iayu)         0                                        -
.IPCNamespacePath                   property  s               ""                                       const
.IPEgressBytes                      property  t               18446744073709551615                     -
.IPEgressFilterPath                 property  as              0                                        -
.IPEgressPackets                    property  t               18446744073709551615                     -
.IPIngressBytes                     property  t               18446744073709551615                     -
.IPIngressFilterPath                property  as              0                                        -
.IPIngressPackets                   property  t               18446744073709551615                     -
.IgnoreSIGPIPE                      property  b               true                                     const
.InaccessiblePaths                  property  as              0                                        const
.KeyringMode                        property  s               "private"                                const
.KillMode                           property  s               "control-group"                          const
.KillSignal                         property  i               15                                       const
.LimitAS                            property  t               18446744073709551615                     const
.LimitASSoft                        property  t               18446744073709551615                     const
.LimitCORE                          property  t               18446744073709551615                     const
.LimitCORESoft                      property  t               0                                        const
.LimitCPU                           property  t               18446744073709551615                     const
.LimitCPUSoft                       property  t               18446744073709551615                     const
.LimitDATA                          property  t               18446744073709551615                     const
.LimitDATASoft                      property  t               18446744073709551615                     const
.LimitFSIZE                         property  t               18446744073709551615                     const
.LimitFSIZESoft                     property  t               18446744073709551615                     const
.LimitLOCKS                         property  t               18446744073709551615                     const
.LimitLOCKSSoft                     property  t               18446744073709551615                     const
.LimitMEMLOCK                       property  t               8388608                                  const
.LimitMEMLOCKSoft                   property  t               8388608                                  const
.LimitMSGQUEUE                      property  t               819200                                   const
.LimitMSGQUEUESoft                  property  t               819200                                   const
.LimitNICE                          property  t               0                                        const
.LimitNICESoft                      property  t               0                                        const
.LimitNOFILE                        property  t               524288                                   const
.LimitNOFILESoft                    property  t               1024                                     const
.LimitNPROC                         property  t               94472                                    const
.LimitNPROCSoft                     property  t               94472                                    const
.LimitRSS                           property  t               18446744073709551615                     const
.LimitRSSSoft                       property  t               18446744073709551615                     const
